paciente,tipo_celular,comparacion,gen,valor_expresion_normalizada,log2FC,padj
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ENTPD7,0,2.5385,0.039638
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ENTPD7,0.85625,2.5385,0.039638
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ENTPD7,1.3334,2.5385,0.039638
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ENTPD7,1.0821,2.5385,0.039638
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ENTPD7,0.60117,2.5385,0.039638
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ENTPD7,0.72009,2.5385,0.039638
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ENTPD7,1.9621,2.5385,0.039638
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ENTPD7,3.2156,2.5385,0.039638
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ENTPD7,2.9213,2.5385,0.039638
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ENTPD7,4.1567,2.5385,0.039638
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ENTPD7,1.1787,2.5385,0.039638
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ENTPD7,2.6894,2.5385,0.039638
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ENTPD7,0,2.5385,0.039638
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ENTPD7,1.4804,2.5385,0.039638
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ENTPD7,0,2.5385,0.039638
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ENTPD7,2.2319,2.5385,0.039638
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ENTPD7,1.1315,2.5385,0.039638
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ERLIN1,2.3537,1.8618,0.0033857
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ERLIN1,2.2575,1.8618,0.0033857
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ERLIN1,2.1848,1.8618,0.0033857
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ERLIN1,2.2956,1.8618,0.0033857
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ERLIN1,2.1244,1.8618,0.0033857
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ERLIN1,2.7009,1.8618,0.0033857
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ERLIN1,3.9525,1.8618,0.0033857
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ERLIN1,3.2156,1.8618,0.0033857
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ERLIN1,2.9213,1.8618,0.0033857
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ERLIN1,5.3321,1.8618,0.0033857
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ERLIN1,3.3893,1.8618,0.0033857
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ERLIN1,1.4941,1.8618,0.0033857
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ERLIN1,3.4406,1.8618,0.0033857
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ERLIN1,3.6932,1.8618,0.0033857
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ERLIN1,3.1242,1.8618,0.0033857
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ERLIN1,3.596,1.8618,0.0033857
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ERLIN1,3.3292,1.8618,0.0033857
GSM6614348_HC-1,Colonocytes,UC_vs_HC,NDUFB8,5.248,-1.1001,0.04233
GSM6614349_HC-2,Colonocytes,UC_vs_HC,NDUFB8,5.625,-1.1001,0.04233
GSM6614350_HC-3,Colonocytes,UC_vs_HC,NDUFB8,5.1885,-1.1001,0.04233
GSM6614351_HC-4,Colonocytes,UC_vs_HC,NDUFB8,5.9514,-1.1001,0.04233
GSM6614352_HC-5,Colonocytes,UC_vs_HC,NDUFB8,5.6245,-1.1001,0.04233
GSM6614353_HC-6,Colonocytes,UC_vs_HC,NDUFB8,4.9885,-1.1001,0.04233
GSM6614355_UC-2,Colonocytes,UC_vs_HC,NDUFB8,4.1999,-1.1001,0.04233
GSM6614356_UC-3,Colonocytes,UC_vs_HC,NDUFB8,5.0941,-1.1001,0.04233
GSM6614357_UC-4,Colonocytes,UC_vs_HC,NDUFB8,2.9213,-1.1001,0.04233
GSM6614358_UC-5,Colonocytes,UC_vs_HC,NDUFB8,4.8609,-1.1001,0.04233
GSM6614359_UC-6,Colonocytes,UC_vs_HC,NDUFB8,4.3187,-1.1001,0.04233
GSM6614360_CD-1,Colonocytes,UC_vs_HC,NDUFB8,5.841,-1.1001,0.04233
GSM6614361_CD-2,Colonocytes,UC_vs_HC,NDUFB8,5.6203,-1.1001,0.04233
