paciente,tipo_celular,comparacion,gen,valor_expresion_normalizada,log2FC,padj
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ETS1,3.6529,1.8274,0.049293
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ETS1,2.9012,1.8274,0.049293
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ETS1,2.4025,1.8274,0.049293
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ARHGAP21,2.8414,1.2126,0.017854
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ARHGAP21,3.4586,1.2126,0.017854
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ARHGAP21,3.3391,1.2126,0.017854
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ARHGAP21,3.732,1.2126,0.017854
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ARHGAP21,3.5675,1.2126,0.017854
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ARHGAP21,3.9298,1.2126,0.017854
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ARHGAP21,4.411,1.2126,0.017854
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ARHGAP21,5.0941,1.2126,0.017854
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ARHGAP21,3.8227,1.2126,0.017854
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ARHGAP21,4.1567,1.2126,0.017854
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ARHGAP21,5.1852,1.2126,0.017854
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ARHGAP21,3.778,1.2126,0.017854
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ARHGAP21,5.1273,1.2126,0.017854
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ARHGAP21,4.3288,1.2126,0.017854
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ARHGAP21,4.3433,1.2126,0.017854
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ARHGAP21,3.8939,1.2126,0.017854
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ARHGAP21,4.503,1.2126,0.017854
GSM6614348_HC-1,Colonocytes,UC_vs_HC,SVIL,0,1.5798,0.008387
GSM6614349_HC-2,Colonocytes,UC_vs_HC,SVIL,2.0845,1.5798,0.008387
GSM6614350_HC-3,Colonocytes,UC_vs_HC,SVIL,2.6009,1.5798,0.008387
GSM6614351_HC-4,Colonocytes,UC_vs_HC,SVIL,2.9453,1.5798,0.008387
GSM6614352_HC-5,Colonocytes,UC_vs_HC,SVIL,2.4314,1.5798,0.008387
GSM6614353_HC-6,Colonocytes,UC_vs_HC,SVIL,2.4675,1.5798,0.008387
GSM6614355_UC-2,Colonocytes,UC_vs_HC,SVIL,4.3093,1.5798,0.008387
GSM6614356_UC-3,Colonocytes,UC_vs_HC,SVIL,4.1357,1.5798,0.008387
GSM6614357_UC-4,Colonocytes,UC_vs_HC,SVIL,3.8227,1.5798,0.008387
GSM6614358_UC-5,Colonocytes,UC_vs_HC,SVIL,3.6116,1.5798,0.008387
GSM6614359_UC-6,Colonocytes,UC_vs_HC,SVIL,3.3893,1.5798,0.008387
GSM6614360_CD-1,Colonocytes,UC_vs_HC,SVIL,3.334,1.5798,0.008387
GSM6614361_CD-2,Colonocytes,UC_vs_HC,SVIL,3.1155,1.5798,0.008387
GSM6614362_CD-3,Colonocytes,UC_vs_HC,SVIL,3.4783,1.5798,0.008387
GSM6614363_CD-4,Colonocytes,UC_vs_HC,SVIL,2.6197,1.5798,0.008387
GSM6614364_CD-5,Colonocytes,UC_vs_HC,SVIL,3.8939,1.5798,0.008387
GSM6614365_CD-6,Colonocytes,UC_vs_HC,SVIL,3.363,1.5798,0.008387
GSM6614348_HC-1,Colonocytes,UC_vs_HC,MAP3K8,0,2.7727,0.0041745
GSM6614349_HC-2,Colonocytes,UC_vs_HC,MAP3K8,1.233,2.7727,0.0041745
GSM6614350_HC-3,Colonocytes,UC_vs_HC,MAP3K8,1.5977,2.7727,0.0041745
GSM6614351_HC-4,Colonocytes,UC_vs_HC,MAP3K8,1.8129,2.7727,0.0041745
GSM6614352_HC-5,Colonocytes,UC_vs_HC,MAP3K8,0.82816,2.7727,0.0041745
GSM6614353_HC-6,Colonocytes,UC_vs_HC,MAP3K8,1.7073,2.7727,0.0041745
GSM6614355_UC-2,Colonocytes,UC_vs_HC,MAP3K8,2.418,2.7727,0.0041745
GSM6614356_UC-3,Colonocytes,UC_vs_HC,MAP3K8,3.2156,2.7727,0.0041745
GSM6614357_UC-4,Colonocytes,UC_vs_HC,MAP3K8,4.7708,2.7727,0.0041745
GSM6614358_UC-5,Colonocytes,UC_vs_HC,MAP3K8,0,2.7727,0.0041745
GSM6614359_UC-6,Colonocytes,UC_vs_HC,MAP3K8,4.8161,2.7727,0.0041745
GSM6614360_CD-1,Colonocytes,UC_vs_HC,MAP3K8,0,2.7727,0.0041745
GSM6614361_CD-2,Colonocytes,UC_vs_HC,MAP3K8,1.6738,2.7727,0.0041745
GSM6614362_CD-3,Colonocytes,UC_vs_HC,MAP3K8,2.1955,2.7727,0.0041745
GSM6614363_CD-4,Colonocytes,UC_vs_HC,MAP3K8,1.1932,2.7727,0.0041745
GSM6614364_CD-5,Colonocytes,UC_vs_HC,MAP3K8,3.0695,2.7727,0.0041745
GSM6614365_CD-6,Colonocytes,UC_vs_HC,MAP3K8,1.9479,2.7727,0.0041745
GSM6614348_HC-1,Colonocytes,UC_vs_HC,MAPK8,1.6115,1.4071,0.049293
GSM6614349_HC-2,Colonocytes,UC_vs_HC,MAPK8,2.1736,1.4071,0.049293
GSM6614350_HC-3,Colonocytes,UC_vs_HC,MAPK8,1.821,1.4071,0.049293
GSM6614351_HC-4,Colonocytes,UC_vs_HC,MAPK8,2.1214,1.4071,0.049293
GSM6614352_HC-5,Colonocytes,UC_vs_HC,MAPK8,1.7339,1.4071,0.049293
GSM6614353_HC-6,Colonocytes,UC_vs_HC,MAPK8,2.0829,1.4071,0.049293
GSM6614355_UC-2,Colonocytes,UC_vs_HC,MAPK8,2.764,1.4071,0.049293
GSM6614356_UC-3,Colonocytes,UC_vs_HC,MAPK8,3.2156,1.4071,0.049293
GSM6614357_UC-4,Colonocytes,UC_vs_HC,MAPK8,2.9213,1.4071,0.049293
GSM6614358_UC-5,Colonocytes,UC_vs_HC,MAPK8,0,1.4071,0.049293
GSM6614359_UC-6,Colonocytes,UC_vs_HC,MAPK8,3.6292,1.4071,0.049293
GSM6614360_CD-1,Colonocytes,UC_vs_HC,MAPK8,1.4941,1.4071,0.049293
GSM6614361_CD-2,Colonocytes,UC_vs_HC,MAPK8,2.9206,1.4071,0.049293
GSM6614362_CD-3,Colonocytes,UC_vs_HC,MAPK8,2.9192,1.4071,0.049293
GSM6614363_CD-4,Colonocytes,UC_vs_HC,MAPK8,3.1242,1.4071,0.049293
GSM6614364_CD-5,Colonocytes,UC_vs_HC,MAPK8,3.0695,1.4071,0.049293
GSM6614365_CD-6,Colonocytes,UC_vs_HC,MAPK8,2.6415,1.4071,0.049293
GSM6614348_HC-1,Colonocytes,UC_vs_HC,SGMS1,0,4.3817,0.00016145
GSM6614349_HC-2,Colonocytes,UC_vs_HC,SGMS1,0.34495,4.3817,0.00016145
GSM6614350_HC-3,Colonocytes,UC_vs_HC,SGMS1,0,4.3817,0.00016145
GSM6614351_HC-4,Colonocytes,UC_vs_HC,SGMS1,0.87797,4.3817,0.00016145
GSM6614352_HC-5,Colonocytes,UC_vs_HC,SGMS1,0.33168,4.3817,0.00016145
GSM6614353_HC-6,Colonocytes,UC_vs_HC,SGMS1,0.40452,4.3817,0.00016145
GSM6614355_UC-2,Colonocytes,UC_vs_HC,SGMS1,1.9621,4.3817,0.00016145
GSM6614356_UC-3,Colonocytes,UC_vs_HC,SGMS1,4.6931,4.3817,0.00016145
GSM6614357_UC-4,Colonocytes,UC_vs_HC,SGMS1,3.8227,4.3817,0.00016145
GSM6614358_UC-5,Colonocytes,UC_vs_HC,SGMS1,3.6116,4.3817,0.00016145
GSM6614359_UC-6,Colonocytes,UC_vs_HC,SGMS1,2.4391,4.3817,0.00016145
GSM6614360_CD-1,Colonocytes,UC_vs_HC,SGMS1,1.4941,4.3817,0.00016145
GSM6614361_CD-2,Colonocytes,UC_vs_HC,SGMS1,1.0671,4.3817,0.00016145
GSM6614362_CD-3,Colonocytes,UC_vs_HC,SGMS1,3.0287,4.3817,0.00016145
GSM6614363_CD-4,Colonocytes,UC_vs_HC,SGMS1,2.2809,4.3817,0.00016145
GSM6614364_CD-5,Colonocytes,UC_vs_HC,SGMS1,2.7106,4.3817,0.00016145
GSM6614365_CD-6,Colonocytes,UC_vs_HC,SGMS1,0.96548,4.3817,0.00016145
GSM6614348_HC-1,Colonocytes,UC_vs_HC,A1CF,5.324,-1.3731,0.020212
GSM6614349_HC-2,Colonocytes,UC_vs_HC,A1CF,5.4308,-1.3731,0.020212
GSM6614350_HC-3,Colonocytes,UC_vs_HC,A1CF,4.6908,-1.3731,0.020212
GSM6614351_HC-4,Colonocytes,UC_vs_HC,A1CF,4.909,-1.3731,0.020212
GSM6614352_HC-5,Colonocytes,UC_vs_HC,A1CF,4.7044,-1.3731,0.020212
GSM6614353_HC-6,Colonocytes,UC_vs_HC,A1CF,4.9737,-1.3731,0.020212
GSM6614355_UC-2,Colonocytes,UC_vs_HC,A1CF,4.411,-1.3731,0.020212
GSM6614356_UC-3,Colonocytes,UC_vs_HC,A1CF,0,-1.3731,0.020212
GSM6614357_UC-4,Colonocytes,UC_vs_HC,A1CF,0,-1.3731,0.020212
GSM6614358_UC-5,Colonocytes,UC_vs_HC,A1CF,0,-1.3731,0.020212
GSM6614359_UC-6,Colonocytes,UC_vs_HC,A1CF,3.8348,-1.3731,0.020212
GSM6614360_CD-1,Colonocytes,UC_vs_HC,A1CF,4.2607,-1.3731,0.020212
GSM6614361_CD-2,Colonocytes,UC_vs_HC,A1CF,4.2942,-1.3731,0.020212
GSM6614362_CD-3,Colonocytes,UC_vs_HC,A1CF,4.1942,-1.3731,0.020212
GSM6614363_CD-4,Colonocytes,UC_vs_HC,A1CF,4.8083,-1.3731,0.020212
GSM6614364_CD-5,Colonocytes,UC_vs_HC,A1CF,3.8939,-1.3731,0.020212
GSM6614365_CD-6,Colonocytes,UC_vs_HC,A1CF,4.8866,-1.3731,0.020212
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ANK3,3.9439,-2.2043,0.010639
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ANK3,4.7071,-2.2043,0.010639
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ANK3,4.3401,-2.2043,0.010639
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ANK3,6.2343,-2.2043,0.010639
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ANK3,5.0466,-2.2043,0.010639
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ANK3,5.4609,-2.2043,0.010639
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ANK3,3.6537,-2.2043,0.010639
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ANK3,0,-2.2043,0.010639
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ANK3,2.9213,-2.2043,0.010639
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ANK3,0,-2.2043,0.010639
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ANK3,3.2995,-2.2043,0.010639
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ANK3,4.8203,-2.2043,0.010639
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ANK3,4.3726,-2.2043,0.010639
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ANK3,3.3149,-2.2043,0.010639
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ANK3,5.1064,-2.2043,0.010639
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ANK3,3.8939,-2.2043,0.010639
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ANK3,4.1628,-2.2043,0.010639
GSM6614348_HC-1,Colonocytes,UC_vs_HC,HERC4,3.737,1.3982,0.0058117
GSM6614349_HC-2,Colonocytes,UC_vs_HC,HERC4,4.0353,1.3982,0.0058117
GSM6614350_HC-3,Colonocytes,UC_vs_HC,HERC4,4.8513,1.3982,0.0058117
GSM6614351_HC-4,Colonocytes,UC_vs_HC,HERC4,5.109,1.3982,0.0058117
GSM6614352_HC-5,Colonocytes,UC_vs_HC,HERC4,4.3495,1.3982,0.0058117
GSM6614353_HC-6,Colonocytes,UC_vs_HC,HERC4,4.3968,1.3982,0.0058117
GSM6614355_UC-2,Colonocytes,UC_vs_HC,HERC4,6.1398,1.3982,0.0058117
GSM6614356_UC-3,Colonocytes,UC_vs_HC,HERC4,5.4076,1.3982,0.0058117
GSM6614357_UC-4,Colonocytes,UC_vs_HC,HERC4,4.3733,1.3982,0.0058117
GSM6614358_UC-5,Colonocytes,UC_vs_HC,HERC4,5.9711,1.3982,0.0058117
GSM6614359_UC-6,Colonocytes,UC_vs_HC,HERC4,6.1904,1.3982,0.0058117
GSM6614360_CD-1,Colonocytes,UC_vs_HC,HERC4,5.5367,1.3982,0.0058117
GSM6614361_CD-2,Colonocytes,UC_vs_HC,HERC4,4.6493,1.3982,0.0058117
GSM6614362_CD-3,Colonocytes,UC_vs_HC,HERC4,4.7366,1.3982,0.0058117
GSM6614363_CD-4,Colonocytes,UC_vs_HC,HERC4,5.4415,1.3982,0.0058117
GSM6614364_CD-5,Colonocytes,UC_vs_HC,HERC4,5.4126,1.3982,0.0058117
GSM6614365_CD-6,Colonocytes,UC_vs_HC,HERC4,5.8796,1.3982,0.0058117
GSM6614348_HC-1,Colonocytes,UC_vs_HC,HNRNPH3,4.8962,-1.4479,0.0042668
GSM6614349_HC-2,Colonocytes,UC_vs_HC,HNRNPH3,4.8079,-1.4479,0.0042668
GSM6614350_HC-3,Colonocytes,UC_vs_HC,HNRNPH3,5.106,-1.4479,0.0042668
GSM6614351_HC-4,Colonocytes,UC_vs_HC,HNRNPH3,5.4778,-1.4479,0.0042668
GSM6614352_HC-5,Colonocytes,UC_vs_HC,HNRNPH3,4.9654,-1.4479,0.0042668
GSM6614353_HC-6,Colonocytes,UC_vs_HC,HNRNPH3,4.6779,-1.4479,0.0042668
GSM6614355_UC-2,Colonocytes,UC_vs_HC,HNRNPH3,3.6537,-1.4479,0.0042668
GSM6614356_UC-3,Colonocytes,UC_vs_HC,HNRNPH3,3.2156,-1.4479,0.0042668
GSM6614357_UC-4,Colonocytes,UC_vs_HC,HNRNPH3,2.9213,-1.4479,0.0042668
GSM6614358_UC-5,Colonocytes,UC_vs_HC,HNRNPH3,4.1567,-1.4479,0.0042668
GSM6614359_UC-6,Colonocytes,UC_vs_HC,HNRNPH3,3.5535,-1.4479,0.0042668
GSM6614360_CD-1,Colonocytes,UC_vs_HC,HNRNPH3,4.9102,-1.4479,0.0042668
GSM6614361_CD-2,Colonocytes,UC_vs_HC,HNRNPH3,5.215,-1.4479,0.0042668
GSM6614362_CD-3,Colonocytes,UC_vs_HC,HNRNPH3,4.1464,-1.4479,0.0042668
GSM6614363_CD-4,Colonocytes,UC_vs_HC,HNRNPH3,4.6693,-1.4479,0.0042668
GSM6614364_CD-5,Colonocytes,UC_vs_HC,HNRNPH3,4.4764,-1.4479,0.0042668
GSM6614365_CD-6,Colonocytes,UC_vs_HC,HNRNPH3,4.4252,-1.4479,0.0042668
GSM6614348_HC-1,Colonocytes,UC_vs_HC,EIF4EBP2,5.9216,-1.2715,0.013662
GSM6614349_HC-2,Colonocytes,UC_vs_HC,EIF4EBP2,5.4488,-1.2715,0.013662
GSM6614350_HC-3,Colonocytes,UC_vs_HC,EIF4EBP2,5.2474,-1.2715,0.013662
GSM6614351_HC-4,Colonocytes,UC_vs_HC,EIF4EBP2,4.9355,-1.2715,0.013662
GSM6614352_HC-5,Colonocytes,UC_vs_HC,EIF4EBP2,4.9773,-1.2715,0.013662
GSM6614353_HC-6,Colonocytes,UC_vs_HC,EIF4EBP2,5.1938,-1.2715,0.013662
GSM6614355_UC-2,Colonocytes,UC_vs_HC,EIF4EBP2,3.6537,-1.2715,0.013662
GSM6614356_UC-3,Colonocytes,UC_vs_HC,EIF4EBP2,3.2156,-1.2715,0.013662
GSM6614357_UC-4,Colonocytes,UC_vs_HC,EIF4EBP2,2.9213,-1.2715,0.013662
GSM6614358_UC-5,Colonocytes,UC_vs_HC,EIF4EBP2,4.5513,-1.2715,0.013662
GSM6614359_UC-6,Colonocytes,UC_vs_HC,EIF4EBP2,4.4496,-1.2715,0.013662
GSM6614360_CD-1,Colonocytes,UC_vs_HC,EIF4EBP2,4.8203,-1.2715,0.013662
GSM6614361_CD-2,Colonocytes,UC_vs_HC,EIF4EBP2,3.9296,-1.2715,0.013662
GSM6614362_CD-3,Colonocytes,UC_vs_HC,EIF4EBP2,4.5654,-1.2715,0.013662
GSM6614363_CD-4,Colonocytes,UC_vs_HC,EIF4EBP2,5.1064,-1.2715,0.013662
GSM6614364_CD-5,Colonocytes,UC_vs_HC,EIF4EBP2,4.1406,-1.2715,0.013662
GSM6614365_CD-6,Colonocytes,UC_vs_HC,EIF4EBP2,4.6054,-1.2715,0.013662
GSM6614348_HC-1,Colonocytes,UC_vs_HC,VSIR,4.9926,-1.604,0.017278
GSM6614349_HC-2,Colonocytes,UC_vs_HC,VSIR,5.1082,-1.604,0.017278
GSM6614350_HC-3,Colonocytes,UC_vs_HC,VSIR,5.3224,-1.604,0.017278
GSM6614351_HC-4,Colonocytes,UC_vs_HC,VSIR,4.5448,-1.604,0.017278
GSM6614352_HC-5,Colonocytes,UC_vs_HC,VSIR,5.069,-1.604,0.017278
GSM6614353_HC-6,Colonocytes,UC_vs_HC,VSIR,4.6221,-1.604,0.017278
GSM6614355_UC-2,Colonocytes,UC_vs_HC,VSIR,3.4773,-1.604,0.017278
GSM6614356_UC-3,Colonocytes,UC_vs_HC,VSIR,0,-1.604,0.017278
GSM6614357_UC-4,Colonocytes,UC_vs_HC,VSIR,4.3733,-1.604,0.017278
GSM6614358_UC-5,Colonocytes,UC_vs_HC,VSIR,3.6116,-1.604,0.017278
GSM6614359_UC-6,Colonocytes,UC_vs_HC,VSIR,3.4737,-1.604,0.017278
GSM6614360_CD-1,Colonocytes,UC_vs_HC,VSIR,4.9949,-1.604,0.017278
GSM6614361_CD-2,Colonocytes,UC_vs_HC,VSIR,3.2872,-1.604,0.017278
GSM6614362_CD-3,Colonocytes,UC_vs_HC,VSIR,3.2257,-1.604,0.017278
GSM6614363_CD-4,Colonocytes,UC_vs_HC,VSIR,4.2488,-1.604,0.017278
GSM6614364_CD-5,Colonocytes,UC_vs_HC,VSIR,3.9809,-1.604,0.017278
GSM6614365_CD-6,Colonocytes,UC_vs_HC,VSIR,3.0676,-1.604,0.017278
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ADIRF,7.4057,-2.0573,0.0083664
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ADIRF,6.6841,-2.0573,0.0083664
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ADIRF,6.3676,-2.0573,0.0083664
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ADIRF,6.5884,-2.0573,0.0083664
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ADIRF,7.0839,-2.0573,0.0083664
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ADIRF,8.3684,-2.0573,0.0083664
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ADIRF,4.7585,-2.0573,0.0083664
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ADIRF,0,-2.0573,0.0083664
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ADIRF,5.5554,-2.0573,0.0083664
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ADIRF,5.1156,-2.0573,0.0083664
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ADIRF,6.287,-2.0573,0.0083664
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ADIRF,6.8738,-2.0573,0.0083664
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ADIRF,7.1189,-2.0573,0.0083664
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ADIRF,5.3983,-2.0573,0.0083664
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ADIRF,5.4415,-2.0573,0.0083664
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ADIRF,5.5036,-2.0573,0.0083664
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ADIRF,6.7509,-2.0573,0.0083664
GSM6614348_HC-1,Colonocytes,UC_vs_HC,SLC35G1,4.1248,-3.6433,0.0095601
GSM6614349_HC-2,Colonocytes,UC_vs_HC,SLC35G1,4.4461,-3.6433,0.0095601
GSM6614350_HC-3,Colonocytes,UC_vs_HC,SLC35G1,2.9235,-3.6433,0.0095601
GSM6614351_HC-4,Colonocytes,UC_vs_HC,SLC35G1,4.0072,-3.6433,0.0095601
GSM6614352_HC-5,Colonocytes,UC_vs_HC,SLC35G1,3.6882,-3.6433,0.0095601
GSM6614353_HC-6,Colonocytes,UC_vs_HC,SLC35G1,2.771,-3.6433,0.0095601
GSM6614355_UC-2,Colonocytes,UC_vs_HC,SLC35G1,1.2917,-3.6433,0.0095601
GSM6614356_UC-3,Colonocytes,UC_vs_HC,SLC35G1,0,-3.6433,0.0095601
GSM6614357_UC-4,Colonocytes,UC_vs_HC,SLC35G1,0,-3.6433,0.0095601
GSM6614358_UC-5,Colonocytes,UC_vs_HC,SLC35G1,0,-3.6433,0.0095601
GSM6614359_UC-6,Colonocytes,UC_vs_HC,SLC35G1,0,-3.6433,0.0095601
GSM6614360_CD-1,Colonocytes,UC_vs_HC,SLC35G1,2.6894,-3.6433,0.0095601
GSM6614361_CD-2,Colonocytes,UC_vs_HC,SLC35G1,2.4279,-3.6433,0.0095601
GSM6614362_CD-3,Colonocytes,UC_vs_HC,SLC35G1,2.5296,-3.6433,0.0095601
GSM6614363_CD-4,Colonocytes,UC_vs_HC,SLC35G1,2.6197,-3.6433,0.0095601
GSM6614364_CD-5,Colonocytes,UC_vs_HC,SLC35G1,3.0695,-3.6433,0.0095601
GSM6614365_CD-6,Colonocytes,UC_vs_HC,SLC35G1,2.7477,-3.6433,0.0095601
GSM6614348_HC-1,Colonocytes,UC_vs_HC,PDLIM1,8.011,-1.0302,0.049293
GSM6614349_HC-2,Colonocytes,UC_vs_HC,PDLIM1,7.5867,-1.0302,0.049293
GSM6614350_HC-3,Colonocytes,UC_vs_HC,PDLIM1,6.5107,-1.0302,0.049293
GSM6614351_HC-4,Colonocytes,UC_vs_HC,PDLIM1,6.605,-1.0302,0.049293
GSM6614352_HC-5,Colonocytes,UC_vs_HC,PDLIM1,6.9636,-1.0302,0.049293
GSM6614353_HC-6,Colonocytes,UC_vs_HC,PDLIM1,6.8846,-1.0302,0.049293
GSM6614355_UC-2,Colonocytes,UC_vs_HC,PDLIM1,6.4336,-1.0302,0.049293
GSM6614356_UC-3,Colonocytes,UC_vs_HC,PDLIM1,4.1357,-1.0302,0.049293
GSM6614357_UC-4,Colonocytes,UC_vs_HC,PDLIM1,6.0607,-1.0302,0.049293
GSM6614358_UC-5,Colonocytes,UC_vs_HC,PDLIM1,6.2085,-1.0302,0.049293
GSM6614359_UC-6,Colonocytes,UC_vs_HC,PDLIM1,6.1779,-1.0302,0.049293
GSM6614360_CD-1,Colonocytes,UC_vs_HC,PDLIM1,6.7815,-1.0302,0.049293
GSM6614361_CD-2,Colonocytes,UC_vs_HC,PDLIM1,6.0834,-1.0302,0.049293
GSM6614362_CD-3,Colonocytes,UC_vs_HC,PDLIM1,5.7418,-1.0302,0.049293
GSM6614363_CD-4,Colonocytes,UC_vs_HC,PDLIM1,6.6632,-1.0302,0.049293
GSM6614364_CD-5,Colonocytes,UC_vs_HC,PDLIM1,5.9544,-1.0302,0.049293
GSM6614365_CD-6,Colonocytes,UC_vs_HC,PDLIM1,6.319,-1.0302,0.049293
GSM6614348_HC-1,Colonocytes,UC_vs_HC,ALDH18A1,4.7931,-2.159,0.0034266
GSM6614349_HC-2,Colonocytes,UC_vs_HC,ALDH18A1,4.9534,-2.159,0.0034266
GSM6614350_HC-3,Colonocytes,UC_vs_HC,ALDH18A1,4.2275,-2.159,0.0034266
GSM6614351_HC-4,Colonocytes,UC_vs_HC,ALDH18A1,4.9487,-2.159,0.0034266
GSM6614352_HC-5,Colonocytes,UC_vs_HC,ALDH18A1,5.3137,-2.159,0.0034266
GSM6614353_HC-6,Colonocytes,UC_vs_HC,ALDH18A1,5.5632,-2.159,0.0034266
GSM6614355_UC-2,Colonocytes,UC_vs_HC,ALDH18A1,3.2763,-2.159,0.0034266
GSM6614356_UC-3,Colonocytes,UC_vs_HC,ALDH18A1,3.2156,-2.159,0.0034266
GSM6614357_UC-4,Colonocytes,UC_vs_HC,ALDH18A1,3.8227,-2.159,0.0034266
GSM6614358_UC-5,Colonocytes,UC_vs_HC,ALDH18A1,2.725,-2.159,0.0034266
GSM6614359_UC-6,Colonocytes,UC_vs_HC,ALDH18A1,2.5981,-2.159,0.0034266
GSM6614360_CD-1,Colonocytes,UC_vs_HC,ALDH18A1,4.9102,-2.159,0.0034266
GSM6614361_CD-2,Colonocytes,UC_vs_HC,ALDH18A1,3.2872,-2.159,0.0034266
GSM6614362_CD-3,Colonocytes,UC_vs_HC,ALDH18A1,3.5535,-2.159,0.0034266
GSM6614363_CD-4,Colonocytes,UC_vs_HC,ALDH18A1,4.6693,-2.159,0.0034266
GSM6614364_CD-5,Colonocytes,UC_vs_HC,ALDH18A1,4.2143,-2.159,0.0034266
GSM6614365_CD-6,Colonocytes,UC_vs_HC,ALDH18A1,3.0676,-2.159,0.0034266
GSM6614348_HC-1,Colonocytes,UC_vs_HC,TM9SF3,4.1248,1.1616,0.0070435
GSM6614349_HC-2,Colonocytes,UC_vs_HC,TM9SF3,4.7656,1.1616,0.0070435
GSM6614350_HC-3,Colonocytes,UC_vs_HC,TM9SF3,4.5101,1.1616,0.0070435
GSM6614351_HC-4,Colonocytes,UC_vs_HC,TM9SF3,4.361,1.1616,0.0070435
GSM6614352_HC-5,Colonocytes,UC_vs_HC,TM9SF3,4.1539,1.1616,0.0070435
GSM6614353_HC-6,Colonocytes,UC_vs_HC,TM9SF3,4.5442,1.1616,0.0070435
GSM6614355_UC-2,Colonocytes,UC_vs_HC,TM9SF3,5.3255,1.1616,0.0070435
GSM6614356_UC-3,Colonocytes,UC_vs_HC,TM9SF3,4.1357,1.1616,0.0070435
GSM6614357_UC-4,Colonocytes,UC_vs_HC,TM9SF3,5.9111,1.1616,0.0070435
GSM6614358_UC-5,Colonocytes,UC_vs_HC,TM9SF3,5.8359,1.1616,0.0070435
GSM6614359_UC-6,Colonocytes,UC_vs_HC,TM9SF3,5.8228,1.1616,0.0070435
GSM6614360_CD-1,Colonocytes,UC_vs_HC,TM9SF3,4.2607,1.1616,0.0070435
GSM6614361_CD-2,Colonocytes,UC_vs_HC,TM9SF3,4.9849,1.1616,0.0070435
GSM6614362_CD-3,Colonocytes,UC_vs_HC,TM9SF3,5.8048,1.1616,0.0070435
GSM6614363_CD-4,Colonocytes,UC_vs_HC,TM9SF3,5.3981,1.1616,0.0070435
GSM6614364_CD-5,Colonocytes,UC_vs_HC,TM9SF3,5.7215,1.1616,0.0070435
GSM6614365_CD-6,Colonocytes,UC_vs_HC,TM9SF3,5.2717,1.1616,0.0070435
GSM6614348_HC-1,Colonocytes,UC_vs_HC,SLC25A28,3.2052,2.1701,0.043185
GSM6614349_HC-2,Colonocytes,UC_vs_HC,SLC25A28,1.5314,2.1701,0.043185
GSM6614350_HC-3,Colonocytes,UC_vs_HC,SLC25A28,1.3334,2.1701,0.043185
